phenotype	snp	adjustment	beta	SE	OR	p	type	n_total	n_cases	n_controls	HWE_p	allele_freq	n_no_snp	note	p.value	bonferroni	fdr	description	group
38.3	rs4266947_T	NA	NA	NA	NA	NA	NA	7563	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Bacteremia	infectious diseases
41	rs4266947_T	NA	NA	NA	NA	NA	logistic	7573	10	7563	0.991148111	0.022778291	38	 [Error: < 15  cases or controls]	NA	NA	NA	Bacterial infection NOS	infectious diseases
41.1	rs4266947_T	NA	NA	NA	NA	NA	NA	7563	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Staphylococcus infections	infectious diseases
41.11	rs4266947_T	NA	NA	NA	NA	NA	NA	7563	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Methicillin sensitive Staphylococcus aureus	infectious diseases
41.12	rs4266947_T	NA	NA	NA	NA	NA	NA	7563	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Methicillin resistant Staphylococcus aureus	infectious diseases
41.2	rs4266947_T	NA	NA	NA	NA	NA	logistic	7564	1	7563	0.991046549	0.022805394	38	 [Error: < 15  cases or controls]	NA	NA	NA	Streptococcus infection	infectious diseases
41.21	rs4266947_T	NA	NA	NA	NA	NA	NA	7563	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Rheumatic fever / chorea	infectious diseases
41.4	rs4266947_T	NA	NA	NA	NA	NA	NA	7563	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	E. coli	infectious diseases
41.8	rs4266947_T	NA	NA	NA	NA	NA	NA	7563	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	H. pylori	infectious diseases
41.9	rs4266947_T	NA	NA	NA	NA	NA	NA	7563	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Infection with drug-resistant microorganisms	infectious diseases
53	rs4266947_T	NA	NA	NA	NA	NA	logistic	7576	5	7571	0.96602978	0.022703273	38	 [Error: < 15  cases or controls]	NA	NA	NA	Herpes zoster	infectious diseases
53.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	7573	2	7571	0.965928442	0.022712267	38	 [Error: < 15  cases or controls]	NA	NA	NA	Herpes zoster with nervous system complications	infectious diseases
54	rs4266947_T	NA	NA	NA	NA	NA	logistic	7574	3	7571	0.965962254	0.022709269	38	 [Error: < 15  cases or controls]	NA	NA	NA	Herpes simplex	infectious diseases
70	rs4266947_T	NA	NA	NA	NA	NA	logistic	7579	8	7571	0.966130827	0.022694287	38	 [Error: < 15  cases or controls]	NA	NA	NA	Viral hepatitis	infectious diseases
70.1	rs4266947_T	NA	NA	NA	NA	NA	NA	7571	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Viral hepatitis A	infectious diseases
70.2	rs4266947_T	NA	NA	NA	NA	NA	logistic	7575	4	7571	0.965996033	0.022706271	38	 [Error: < 15  cases or controls]	NA	NA	NA	Viral hepatitis B	infectious diseases
70.3	rs4266947_T	NA	NA	NA	NA	NA	logistic	7574	3	7571	0.965962254	0.022709269	38	 [Error: < 15  cases or controls]	NA	NA	NA	Viral hepatitis C	infectious diseases
70.4	rs4266947_T	NA	NA	NA	NA	NA	logistic	7575	4	7571	0.964471422	0.022772277	38	 [Error: < 15  cases or controls]	NA	NA	NA	Chronic hepatitis	infectious diseases
70.9	rs4266947_T	NA	NA	NA	NA	NA	logistic	7579	8	7571	0.963039931	0.02282623	38	 [Error: < 15  cases or controls]	NA	NA	NA	Hepatitis NOS	infectious diseases
71	rs4266947_T	NA	NA	NA	NA	NA	NA	7571	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Human immunodeficiency virus [HIV] disease	infectious diseases
71.1	rs4266947_T	NA	NA	NA	NA	NA	NA	7571	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	"HIV infection, symptomatic"	infectious diseases
78	rs4266947_T	NA	NA	NA	NA	NA	logistic	7581	10	7571	0.96619803	0.0226883	38	 [Error: < 15  cases or controls]	NA	NA	NA	Viral warts & HPV	infectious diseases
79	rs4266947_T	NA	0.330892792	0.579953699	1.392210529	0.568304475	logistic	7615	44	7571	0.990612904	0.022783979	38		FALSE	FALSE	FALSE	Viral infection	infectious diseases
79.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	7574	3	7571	0.965962254	0.022709269	38	 [Error: < 15  cases or controls]	NA	NA	NA	Varicella infection	infectious diseases
79.2	rs4266947_T	NA	NA	NA	NA	NA	NA	7571	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Infectious mononucleosis	infectious diseases
79.9	rs4266947_T	NA	0.625374628	0.575998447	1.868945986	0.277601665	logistic	7605	34	7571	0.990494703	0.022813938	38		FALSE	FALSE	FALSE	"Viremia, NOS"	infectious diseases
80	rs4266947_T	NA	-0.274722705	0.715703465	0.759782778	0.701089699	logistic	7611	55	7556	0.988887086	0.022993036	38		FALSE	FALSE	FALSE	Postoperative infection	infectious diseases
81	rs4266947_T	NA	-15.23297668	898.1312028	2.42E-07	0.98646793	logistic	7597	41	7556	0.989856183	0.022903778	38		FALSE	FALSE	FALSE	Infection/inflammation of internal prosthetic device; implant; and graft	infectious diseases
81.1	rs4266947_T	NA	NA	NA	NA	NA	NA	7556	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Graft-versus-host disease	infectious diseases
81.11	rs4266947_T	NA	NA	NA	NA	NA	NA	7556	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Acute graft-versus-host disease	infectious diseases
81.12	rs4266947_T	NA	NA	NA	NA	NA	NA	7556	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Chronic graft-versus-host disease	infectious diseases
110	rs4266947_T	NA	NA	NA	NA	NA	logistic	7639	2	7637	0.989262072	0.022908758	38	 [Error: < 15  cases or controls]	NA	NA	NA	Dermatophytosis / Dermatomycosis	infectious diseases
110.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	7639	2	7637	0.989262072	0.022908758	38	 [Error: < 15  cases or controls]	NA	NA	NA	Dermatophytosis	infectious diseases
110.11	rs4266947_T	NA	NA	NA	NA	NA	logistic	7638	1	7637	0.961967482	0.022780833	38	 [Error: < 15  cases or controls]	NA	NA	NA	Dermatophytosis of nail	infectious diseases
110.12	rs4266947_T	NA	NA	NA	NA	NA	logistic	7638	1	7637	0.989248895	0.022911757	38	 [Error: < 15  cases or controls]	NA	NA	NA	Althete's foot	infectious diseases
110.13	rs4266947_T	NA	NA	NA	NA	NA	NA	7637	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Dermatophytosis of the body	infectious diseases
110.2	rs4266947_T	NA	NA	NA	NA	NA	NA	7637	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Dermatomycoses	infectious diseases
112	rs4266947_T	NA	NA	NA	NA	NA	logistic	7644	7	7637	0.962187416	0.022762951	38	 [Error: < 15  cases or controls]	NA	NA	NA	Candidiasis	infectious diseases
112.3	rs4266947_T	NA	NA	NA	NA	NA	logistic	7638	1	7637	0.961967482	0.022780833	38	 [Error: < 15  cases or controls]	NA	NA	NA	Candidiasis of skin and nails	infectious diseases
117	rs4266947_T	NA	NA	NA	NA	NA	logistic	7640	3	7637	0.96204093	0.022774869	38	 [Error: < 15  cases or controls]	NA	NA	NA	Mycoses	infectious diseases
117.1	rs4266947_T	NA	NA	NA	NA	NA	NA	7637	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Histoplasmosis	infectious diseases
117.2	rs4266947_T	NA	NA	NA	NA	NA	NA	7637	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Coccidioidomycosis	infectious diseases
117.3	rs4266947_T	NA	NA	NA	NA	NA	NA	7637	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Blastomycotic infection	infectious diseases
117.4	rs4266947_T	NA	NA	NA	NA	NA	logistic	7639	2	7637	0.962004223	0.022777851	38	 [Error: < 15  cases or controls]	NA	NA	NA	Aspergillosis	infectious diseases
130	rs4266947_T	NA	NA	NA	NA	NA	logistic	7638	1	7637	0.989816931	0.022846295	38	 [Error: < 15  cases or controls]	NA	NA	NA	Spirochetal infection	infectious diseases
130.1	rs4266947_T	NA	NA	NA	NA	NA	NA	7637	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Lyme disease	infectious diseases
131	rs4266947_T	NA	NA	NA	NA	NA	NA	7637	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Protozoan infection	infectious diseases
132	rs4266947_T	NA	NA	NA	NA	NA	NA	7637	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	"Infestation (lice, mites)"	infectious diseases
132.1	rs4266947_T	NA	NA	NA	NA	NA	NA	7637	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Pediculosis and phthirus infestation	infectious diseases
133	rs4266947_T	NA	NA	NA	NA	NA	logistic	7646	9	7637	0.989353867	0.022887784	38	 [Error: < 15  cases or controls]	NA	NA	NA	Arthropod-borne diseases	infectious diseases
134	rs4266947_T	NA	NA	NA	NA	NA	logistic	7638	1	7637	0.989816931	0.022846295	38	 [Error: < 15  cases or controls]	NA	NA	NA	Helminthiases	infectious diseases
134.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	7638	1	7637	0.989816931	0.022846295	38	 [Error: < 15  cases or controls]	NA	NA	NA	Intestinal helminthiases	infectious diseases
136	rs4266947_T	NA	NA	NA	NA	NA	logistic	7638	1	7637	0.989816931	0.022846295	38	 [Error: < 15  cases or controls]	NA	NA	NA	Other infectious and parasitic diseases	infectious diseases
145	rs4266947_T	NA	0.326754457	1.019060358	1.386461	0.748481032	logistic	7623	18	7605	0.989049337	0.022956841	38		FALSE	FALSE	FALSE	Cancer of mouth	neoplasms
145.1	rs4266947_T	NA	NA	NA	NA	NA	NA	7605	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Cancer of lip	neoplasms
145.2	rs4266947_T	NA	NA	NA	NA	NA	logistic	7613	8	7605	0.989497755	0.022921319	38	 [Error: < 15  cases or controls]	NA	NA	NA	Cancer of tongue	neoplasms
145.3	rs4266947_T	NA	NA	NA	NA	NA	logistic	7608	3	7605	0.988846158	0.023002103	38	 [Error: < 15  cases or controls]	NA	NA	NA	Cancer of major salivary glands	neoplasms
145.4	rs4266947_T	NA	NA	NA	NA	NA	logistic	7607	2	7605	0.989419709	0.022939398	38	 [Error: < 15  cases or controls]	NA	NA	NA	Cancer of the gums	neoplasms
145.5	rs4266947_T	NA	NA	NA	NA	NA	NA	7605	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Cancer of the mouth floor	neoplasms
149	rs4266947_T	NA	NA	NA	NA	NA	logistic	7613	8	7605	0.989497755	0.022921319	38	 [Error: < 15  cases or controls]	NA	NA	NA	"Cancer of larynx, pharynx, nasal cavities"	neoplasms
149.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	7608	3	7605	0.989432756	0.022936383	38	 [Error: < 15  cases or controls]	NA	NA	NA	Cancer of oropharynx	neoplasms
149.2	rs4266947_T	NA	NA	NA	NA	NA	logistic	7608	3	7605	0.989432756	0.022936383	38	 [Error: < 15  cases or controls]	NA	NA	NA	Cancer of nasopharynx	neoplasms
149.3	rs4266947_T	NA	NA	NA	NA	NA	logistic	7606	1	7605	0.989406646	0.022942414	38	 [Error: < 15  cases or controls]	NA	NA	NA	Cancer of hypopharynx	neoplasms
149.4	rs4266947_T	NA	NA	NA	NA	NA	logistic	7607	2	7605	0.989419709	0.022939398	38	 [Error: < 15  cases or controls]	NA	NA	NA	Cancer of larynx	neoplasms
149.5	rs4266947_T	NA	NA	NA	NA	NA	NA	7605	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Hx of malignant neoplasm of oral cavity and pharynx	neoplasms
149.9	rs4266947_T	NA	NA	NA	NA	NA	NA	7605	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Cancer of of nasal cavities	neoplasms
150	rs4266947_T	NA	NA	NA	NA	NA	logistic	7456	4	7452	0.967930293	0.022800429	37	 [Error: < 15  cases or controls]	NA	NA	NA	Cancer of esophagus	neoplasms
151	rs4266947_T	NA	NA	NA	NA	NA	logistic	7465	13	7452	0.968222962	0.02277294	37	 [Error: < 15  cases or controls]	NA	NA	NA	Cancer of stomach	neoplasms
153	rs4266947_T	NA	-15.3634295	901.2925605	2.13E-07	0.986399921	logistic	7323	46	7277	0.97802724	0.022463471	37		FALSE	FALSE	FALSE	Colorectal cancer	neoplasms
153.2	rs4266947_T	NA	-15.99524784	1473.201999	1.13E-07	0.991337162	logistic	7310	33	7277	0.977710821	0.02250342	37		FALSE	FALSE	FALSE	Colon cancer	neoplasms
153.3	rs4266947_T	NA	-16.26792886	2304.916012	8.61E-08	0.994368636	logistic	7293	16	7277	0.977290337	0.022555875	37		FALSE	FALSE	FALSE	"Malignant neoplasm of rectum, rectosigmoid junction, and anus"	neoplasms
155	rs4266947_T	NA	NA	NA	NA	NA	logistic	7461	9	7452	0.966629784	0.022852165	37	 [Error: < 15  cases or controls]	NA	NA	NA	Cancer of liver and intrahepatic bile duct	neoplasms
155.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	7459	7	7452	0.966562226	0.022858292	37	 [Error: < 15  cases or controls]	NA	NA	NA	"Malignant neoplasm of liver, primary"	neoplasms
157	rs4266947_T	NA	NA	NA	NA	NA	logistic	7461	9	7452	0.968093208	0.022785149	37	 [Error: < 15  cases or controls]	NA	NA	NA	Pancreatic cancer	neoplasms
158	rs4266947_T	NA	NA	NA	NA	NA	logistic	7459	7	7452	0.966562226	0.022858292	37	 [Error: < 15  cases or controls]	NA	NA	NA	Neoplasm of unspecified nature of digestive system	neoplasms
159	rs4266947_T	NA	NA	NA	NA	NA	logistic	7459	7	7452	0.991355255	0.022925325	37	 [Error: < 15  cases or controls]	NA	NA	NA	Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	neoplasms
159.2	rs4266947_T	NA	NA	NA	NA	NA	logistic	7453	1	7452	0.967832158	0.022809607	37	 [Error: < 15  cases or controls]	NA	NA	NA	"Malignant neoplasm of small intestine, including duodenum"	neoplasms
159.3	rs4266947_T	NA	NA	NA	NA	NA	logistic	7456	4	7452	0.967930293	0.022800429	37	 [Error: < 15  cases or controls]	NA	NA	NA	Malignant neoplasm of gallbladder and extrahepatic bile ducts	neoplasms
159.4	rs4266947_T	NA	NA	NA	NA	NA	logistic	7454	2	7452	0.991299281	0.022940703	37	 [Error: < 15  cases or controls]	NA	NA	NA	Malignant neoplasm of retroperitoneum and peritoneum	neoplasms
164	rs4266947_T	NA	NA	NA	NA	NA	logistic	7630	1	7629	0.989715841	0.022870249	38	 [Error: < 15  cases or controls]	NA	NA	NA	Cancer of intrathoracic organs	neoplasms
165	rs4266947_T	NA	0.223080987	1.018479334	1.249921797	0.826624033	logistic	7648	19	7629	0.989379954	0.022881799	38		FALSE	FALSE	FALSE	Cancer within the respiratory system	neoplasms
165.1	rs4266947_T	NA	0.223080987	1.018479334	1.249921797	0.826624033	logistic	7648	19	7629	0.989379954	0.022881799	38		FALSE	FALSE	FALSE	Cancer of bronchus; lung	neoplasms
170	rs4266947_T	NA	NA	NA	NA	NA	logistic	7649	10	7639	0.989392973	0.022878808	38	 [Error: < 15  cases or controls]	NA	NA	NA	Cancer of bone and connective tissue	neoplasms
170.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	7641	2	7639	0.989288378	0.022902761	38	 [Error: < 15  cases or controls]	NA	NA	NA	Bone cancer	neoplasms
170.2	rs4266947_T	NA	NA	NA	NA	NA	logistic	7647	8	7639	0.989366918	0.022884791	38	 [Error: < 15  cases or controls]	NA	NA	NA	Cancer of connective tissue	neoplasms
172	rs4266947_T	NA	NA	NA	NA	NA	logistic	7647	6	7641	0.989366918	0.022884791	38	 [Error: < 15  cases or controls]	NA	NA	NA	Skin cancer	neoplasms
172.1	rs4266947_T	NA	NA	NA	NA	NA	NA	7641	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	"Melanomas of skin, dx or hx"	neoplasms
172.11	rs4266947_T	NA	NA	NA	NA	NA	NA	7641	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Melanomas of skin	neoplasms
172.2	rs4266947_T	NA	NA	NA	NA	NA	logistic	7647	6	7641	0.989366918	0.022884791	38	 [Error: < 15  cases or controls]	NA	NA	NA	Other non-epithelial cancer of skin	neoplasms
172.21	rs4266947_T	NA	NA	NA	NA	NA	NA	7641	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Basal cell carcinoma	neoplasms
172.22	rs4266947_T	NA	NA	NA	NA	NA	NA	7641	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Squamous cell carcinoma	neoplasms
172.3	rs4266947_T	NA	NA	NA	NA	NA	NA	7641	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Carcinoma in situ of skin	neoplasms
173	rs4266947_T	NA	NA	NA	NA	NA	logistic	7643	2	7641	0.989314621	0.022896768	38	 [Error: < 15  cases or controls]	NA	NA	NA	Neoplasm of uncertain behavior of skin	neoplasms
174	rs4266947_T	NA	-0.56307709	0.998687554	0.569454103	0.572878634	logistic	7520	37	7483	0.992010368	0.022739362	38		FALSE	FALSE	FALSE	Breast cancer	neoplasms
174.1	rs4266947_T	NA	-15.73583747	1430.342638	1.47E-07	0.991222293	logistic	3395	33	3362	0.999925985	0.020324006	16		FALSE	FALSE	FALSE	Breast cancer [female]	neoplasms
174.11	rs4266947_T	NA	NA	NA	NA	NA	logistic	3367	5	3362	0.999917592	0.02049302	15	 [Error: < 15  cases or controls]	NA	NA	NA	Malignant neoplasm of female breast	neoplasms
174.2	rs4266947_T	NA	NA	NA	NA	NA	NA	4121	NA	NA	NA	NA	22	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Breast cancer [male]	neoplasms
174.3	rs4266947_T	NA	NA	NA	NA	NA	logistic	7487	4	7483	0.991662251	0.022839589	37	 [Error: < 15  cases or controls]	NA	NA	NA	Neoplasm of uncertain behavior of breast	neoplasms
175	rs4266947_T	NA	NA	NA	NA	NA	logistic	3362	11	3351	0.999915997	0.020523498	15	 [Error: < 15  cases or controls]	NA	NA	NA	Acquired absence of breast	neoplasms
180	rs4266947_T	NA	0.073189292	0.787500349	1.075934184	0.925952227	logistic	3305	37	3268	0.997208922	0.021028744	15		FALSE	FALSE	FALSE	Cervical cancer and dysplasia	neoplasms
180.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	3272	4	3268	0.997645462	0.020935208	15	 [Error: < 15  cases or controls]	NA	NA	NA	Cervical cancer	neoplasms
180.3	rs4266947_T	NA	0.164052395	0.785659798	1.178276049	0.834597785	logistic	3301	33	3268	0.997179289	0.021054226	15		FALSE	FALSE	FALSE	Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]	neoplasms
182	rs4266947_T	NA	-0.006673143	1.001864851	0.993349073	0.994685552	logistic	3292	24	3268	0.997458428	0.020959903	15		FALSE	FALSE	FALSE	Malignant neoplasm of uterus	neoplasms
184	rs4266947_T	NA	-17.1335366	3612.522827	3.62E-08	0.996215793	logistic	3415	18	3397	0.999829456	0.020937042	15		FALSE	FALSE	FALSE	Cancer of other female genital organs	neoplasms
184.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	3410	13	3397	0.999826386	0.020967742	15	 [Error: < 15  cases or controls]	NA	NA	NA	Malignant neoplasm of ovary and other uterine adnexa	neoplasms
184.11	rs4266947_T	NA	NA	NA	NA	NA	logistic	3410	13	3397	0.999826386	0.020967742	15	 [Error: < 15  cases or controls]	NA	NA	NA	Malignant neoplasm of ovary	neoplasms
184.2	rs4266947_T	NA	NA	NA	NA	NA	logistic	3400	3	3397	0.99982008	0.021029412	15	 [Error: < 15  cases or controls]	NA	NA	NA	Cancer of other female genital organs (excluding uterus and ovary)	neoplasms
185	rs4266947_T	NA	-1.282389536	1.055532522	0.277373714	0.224395895	logistic	3951	52	3899	0.211600509	0.024677297	19		FALSE	FALSE	FALSE	Cancer of prostate	neoplasms
187	rs4266947_T	NA	NA	NA	NA	NA	logistic	4070	6	4064	0.250822118	0.024815725	22	 [Error: < 15  cases or controls]	NA	NA	NA	Cancer of other male genital organs	neoplasms
187.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	4067	3	4064	0.249829549	0.02483403	22	 [Error: < 15  cases or controls]	NA	NA	NA	Malignant neoplasm of unspecified male genital organ	neoplasms
187.2	rs4266947_T	NA	NA	NA	NA	NA	logistic	4066	2	4064	0.249498438	0.024840138	22	 [Error: < 15  cases or controls]	NA	NA	NA	Malignant neoplasm of testis	neoplasms
187.8	rs4266947_T	NA	NA	NA	NA	NA	NA	4064	NA	NA	NA	NA	22	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Neoplasm of uncertain behavior of male genital organs	neoplasms
189	rs4266947_T	NA	-16.54391615	1425.462016	6.53E-08	0.990739957	logistic	7649	57	7592	0.989392973	0.022878808	38		FALSE	FALSE	FALSE	Cancer of urinary organs (incl. kidney and bladder)	neoplasms
189.1	rs4266947_T	NA	-16.40398209	2309.835339	7.51E-08	0.994333633	logistic	7613	21	7592	0.98891429	0.022986996	38		FALSE	FALSE	FALSE	Cancer of kidney and renal pelvis	neoplasms
189.11	rs4266947_T	NA	-16.40398209	2309.835339	7.51E-08	0.994333633	logistic	7613	21	7592	0.98891429	0.022986996	38		FALSE	FALSE	FALSE	"Malignant neoplasm of kidney, except pelvis"	neoplasms
189.12	rs4266947_T	NA	NA	NA	NA	NA	NA	7592	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Malignant neoplasm of renal pelvis	neoplasms
189.2	rs4266947_T	NA	-16.07313707	1382.560179	1.05E-07	0.990724296	logistic	7628	36	7592	0.989116256	0.022941793	38		FALSE	FALSE	FALSE	Cancer of bladder	neoplasms
189.21	rs4266947_T	NA	-16.81831258	2237.470557	4.96E-08	0.994002627	logistic	7621	29	7592	0.989022457	0.022962866	38		FALSE	FALSE	FALSE	Malignant neoplasm of bladder	neoplasms
189.4	rs4266947_T	NA	NA	NA	NA	NA	logistic	7593	1	7592	0.988639295	0.023047544	38	 [Error: < 15  cases or controls]	NA	NA	NA	Malignant neoplasm of other urinary organs	neoplasms
190	rs4266947_T	NA	NA	NA	NA	NA	NA	7626	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Cancer of eye	neoplasms
191	rs4266947_T	NA	NA	NA	NA	NA	logistic	7634	8	7626	0.98919603	0.022923762	38	 [Error: < 15  cases or controls]	NA	NA	NA	Manlignant and unknown neoplasms of brain and nervous system	neoplasms
191.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	7632	6	7626	0.989169502	0.022929769	38	 [Error: < 15  cases or controls]	NA	NA	NA	Cancer of brain and nervous system	neoplasms
191.11	rs4266947_T	NA	NA	NA	NA	NA	logistic	7632	6	7626	0.989169502	0.022929769	38	 [Error: < 15  cases or controls]	NA	NA	NA	Cancer of brain	neoplasms
193	rs4266947_T	NA	NA	NA	NA	NA	logistic	7626	7	7619	0.990741263	0.022751115	38	 [Error: < 15  cases or controls]	NA	NA	NA	Thyroid cancer	neoplasms
194	rs4266947_T	NA	NA	NA	NA	NA	logistic	7622	3	7619	0.991199561	0.022697455	38	 [Error: < 15  cases or controls]	NA	NA	NA	Cancer of other endocrine glands	neoplasms
195	rs4266947_T	NA	NA	NA	NA	NA	logistic	7589	3	7586	0.989754887	0.022927922	38	 [Error: < 15  cases or controls]	NA	NA	NA	"Cancer, suspected or other"	neoplasms
195.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	7589	3	7586	0.989754887	0.022927922	38	 [Error: < 15  cases or controls]	NA	NA	NA	"Malignant neoplasm, other"	neoplasms
195.3	rs4266947_T	NA	NA	NA	NA	NA	NA	7586	NA	NA	NA	NA	37	 [Error: non-varying phenotype or genotype]	NA	NA	NA	"Malignant neoplasm of head, face, and neck"	neoplasms
196	rs4266947_T	NA	NA	NA	NA	NA	NA	7586	NA	NA	NA	NA	37	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Radiotherapy	neoplasms
197	rs4266947_T	NA	NA	NA	NA	NA	NA	7586	NA	NA	NA	NA	37	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Chemotherapy	neoplasms
198	rs4266947_T	NA	-0.792710261	1.011994581	0.452616423	0.433442316	logistic	7631	45	7586	0.989728531	0.022867252	37		FALSE	FALSE	FALSE	Secondary malignant neoplasm	neoplasms
